! S-parameter export from FEKO
!   Filename:      SKALAoriginal_1antenna_SParameter1.s2p
!   Creation date: 2023-06-15 13:15:11
! 
! %Port labels%2
! %Port1
! %Port2
! 
# Hz S MA R  5.00000E+01
! 
!     FREQ          |S11|        <S11       |S21|        <S21       |S12|        <S12       |S22|        <S22
 9.7000000E+07  1.4044093E-01  119.803  7.3390082E-04   39.140  1.4568896E-03   47.440  1.2134139E-01  130.379
 9.8000000E+07  1.5834744E-01  102.233  6.1186223E-04   27.641  1.3734460E-03   37.091  1.3562524E-01  109.186
 9.9000000E+07  1.7293232E-01   88.579  5.2118532E-04   18.797  1.3121478E-03   27.488  1.4926682E-01   92.989
 1.0000000E+08  1.8313577E-01   77.750  4.2502801E-04   10.568  1.2461845E-03   18.135  1.5985904E-01   80.397
 1.0100000E+08  1.8891184E-01   69.212  3.3780774E-04    3.404  1.1758396E-03    9.273  1.6671579E-01   70.605
 1.0200000E+08  1.9144039E-01   62.640  2.5545035E-04   -2.120  1.1657060E-03    1.336  1.7049657E-01   63.123
 1.0300000E+08  1.9233499E-01   57.789  1.5472771E-04   -7.627  1.1208730E-03   -8.123  1.7258236E-01   57.584
 1.0400000E+08  1.9342822E-01   54.301  5.7519783E-05   -8.610  1.0784048E-03  -16.509  1.7472205E-01   53.586
 1.0500000E+08  1.9598294E-01   51.631  7.5626630E-05  108.452  1.0269821E-03  -25.617  1.7811390E-01   50.523
 1.0600000E+08  2.0042359E-01   49.135  2.0414712E-04  117.563  9.8290683E-04  -33.109  1.8322385E-01   47.722
 1.0700000E+08  2.0594024E-01   46.275  3.4055291E-04  105.516  9.4078242E-04  -44.456  1.8956048E-01   44.566
 1.0800000E+08  2.1080296E-01   42.775  4.8981140E-04   92.547  8.8557846E-04  -55.120  1.9537817E-01   40.733
 1.0900000E+08  2.1312732E-01   38.649  6.3509721E-04   80.422  7.9878645E-04  -65.841  1.9887744E-01   36.203
 1.1000000E+08  2.1109028E-01   34.163  7.8649202E-04   66.560  7.1984992E-04  -79.207  1.9816901E-01   31.188
 1.1100000E+08  2.0361492E-01   29.723  9.2019039E-04   52.541  6.2206505E-04  -91.786  1.9212155E-01   26.103
 1.1200000E+08  1.9047814E-01   25.967  1.0488210E-03   38.864  4.9893343E-04 -107.620  1.8020572E-01   21.488
 1.1300000E+08  1.7257639E-01   23.796  1.1831844E-03   25.970  3.6382763E-04 -128.309  1.6287611E-01   18.219
 1.1400000E+08  1.5259320E-01   24.498  1.3236130E-03   11.562  2.2250361E-04 -164.545  1.4215909E-01   17.632
 1.1500000E+08  1.3564132E-01   29.555  1.4362173E-03   -2.604  1.9695743E-04  124.397  1.2237168E-01   21.636
 1.1600000E+08  1.2866556E-01   38.836  1.5369304E-03  -16.614  3.2744499E-04   75.829  1.1070813E-01   31.450
 1.1700000E+08  1.3643421E-01   48.609  1.6327607E-03  -30.758  5.2452464E-04   49.648  1.1406887E-01   43.753
 1.1800000E+08  1.5659184E-01   54.460  1.7102450E-03  -45.602  7.2868022E-04   28.855  1.3217456E-01   52.202
 1.1900000E+08  1.8243068E-01   55.583  1.7513287E-03  -60.132  9.1229787E-04   12.381  1.5793608E-01   54.717
 1.2000000E+08  2.0792026E-01   53.266  1.7744276E-03  -74.336  1.0884768E-03   -2.399  1.8453539E-01   52.879
 1.2100000E+08  2.2897963E-01   48.873  1.7753385E-03  -89.269  1.2290806E-03  -16.303  2.0751313E-01   48.501
 1.2200000E+08  2.4328587E-01   43.356  1.7522238E-03 -103.825  1.3603038E-03  -30.226  2.2424982E-01   42.746
 1.2300000E+08  2.4956993E-01   37.345  1.7191236E-03 -118.388  1.4583308E-03  -42.126  2.3327563E-01   36.347
 1.2400000E+08  2.4735988E-01   31.310  1.6471937E-03 -133.020  1.5366470E-03  -54.384  2.3404542E-01   29.815
 1.2500000E+08  2.3683919E-01   25.686  1.5642286E-03 -146.660  1.6181022E-03  -66.330  2.2649904E-01   23.537
 1.2600000E+08  2.1882193E-01   21.033  1.4679898E-03 -160.628  1.6633331E-03  -77.736  2.1123917E-01   18.018
 1.2700000E+08  1.9516744E-01   18.131  1.3745256E-03 -173.702  1.6899582E-03  -88.715  1.8957453E-01   13.937
 1.2800000E+08  1.6900666E-01   18.222  1.2758108E-03  173.211  1.7283382E-03 -102.467  1.6402328E-01   12.413
 1.2900000E+08  1.4563255E-01   22.895  1.1740046E-03  161.876  1.7280639E-03 -114.599  1.3860703E-01   15.089
 1.3000000E+08  1.3254882E-01   32.760  1.0928023E-03  149.884  1.7129407E-03 -128.094  1.2015743E-01   23.761
 1.3100000E+08  1.3589553E-01   44.548  1.0126192E-03  138.717  1.6478462E-03 -142.296  1.1646354E-01   36.877
 1.3200000E+08  1.5435313E-01   52.952  9.6970806E-04  128.084  1.5097578E-03 -155.689  1.2975276E-01   48.240
 1.3300000E+08  1.8090862E-01   56.296  9.1915126E-04  117.208  1.4588847E-03 -169.349  1.5398216E-01   53.803
 1.3400000E+08  2.0893978E-01   55.807  8.9736126E-04  107.950  1.3668393E-03  173.141  1.8155043E-01   54.512
 1.3500000E+08  2.3429518E-01   52.992  8.5459494E-04   97.848  1.2503613E-03  154.738  2.0767817E-01   52.194
 1.3600000E+08  2.5457939E-01   48.894  8.4691986E-04   87.928  1.1426017E-03  139.510  2.2950937E-01   48.255
 1.3700000E+08  2.6867023E-01   44.172  8.2978300E-04   78.439  1.0482258E-03  121.019  2.4564288E-01   43.465
 1.3800000E+08  2.7604654E-01   39.257  8.2020867E-04   68.628  1.0186024E-03  103.935  2.5534378E-01   38.364
 1.3900000E+08  2.7681263E-01   34.459  8.0288412E-04   60.774  1.0737596E-03   84.647  2.5862624E-01   33.298
 1.4000000E+08  2.7134533E-01   30.060  7.6797092E-04   53.886  1.0978295E-03   67.607  2.5562794E-01   28.536
 1.4100000E+08  2.6058099E-01   26.353  7.7433552E-04   47.742  1.2107174E-03   50.880  2.4735182E-01   24.392
 1.4200000E+08  2.4576394E-01   23.678  7.8842249E-04   44.728  1.3522267E-03   35.319  2.3453576E-01   21.187
 1.4300000E+08  2.2885473E-01   22.445  8.1212003E-04   41.825  1.5851292E-03   24.859  2.1909789E-01   19.294
 1.4400000E+08  2.1235653E-01   23.005  8.7232053E-04   40.029  1.8576055E-03   10.016  2.0311515E-01   19.140
 1.4500000E+08  1.9926074E-01   25.532  9.6476771E-04   37.876  2.0756143E-03   -0.567  1.8923358E-01   20.976
 1.4600000E+08  1.9248170E-01   29.606  1.1021090E-03   32.977  2.3223848E-03  -11.946  1.8071051E-01   24.619
 1.4700000E+08  1.9362446E-01   34.151  1.2696335E-03   28.453  2.7201475E-03  -24.390  1.7935952E-01   29.173
 1.4800000E+08  2.0219676E-01   37.901  1.4059525E-03   20.862  2.9087096E-03  -33.638  1.8541688E-01   33.277
 1.4900000E+08  2.1585976E-01   40.027  1.5841487E-03   14.149  3.2354159E-03  -44.497  1.9718297E-01   35.920
 1.5000000E+08  2.3181649E-01   40.415  1.7471464E-03    5.380  3.5149807E-03  -54.670  2.1195199E-01   36.763
 1.5100000E+08  2.4749703E-01   39.344  1.9136702E-03   -2.280  3.8025995E-03  -64.650  2.2725478E-01   35.976
 1.5200000E+08  2.6097220E-01   37.204  2.0604008E-03  -10.391  4.0300476E-03  -74.293  2.4090494E-01   33.982
 1.5300000E+08  2.7104009E-01   34.364  2.1986300E-03  -18.455  4.2862865E-03  -83.397  2.5148936E-01   31.138
 1.5400000E+08  2.7689977E-01   31.120  2.3196133E-03  -26.256  4.5459307E-03  -92.410  2.5815769E-01   27.793
 1.5500000E+08  2.7830575E-01   27.730  2.4520546E-03  -34.050  4.7984676E-03 -100.828  2.6047708E-01   24.191
 1.5600000E+08  2.7518147E-01   24.415  2.5584946E-03  -41.772  5.0502882E-03 -109.386  2.5830161E-01   20.590
 1.5700000E+08  2.6781032E-01   21.387  2.6482060E-03  -49.669  5.3166069E-03 -117.797  2.5172978E-01   17.201
 1.5800000E+08  2.5673295E-01   18.898  2.7577827E-03  -57.141  5.5968236E-03 -126.057  2.4118999E-01   14.273
 1.5900000E+08  2.4272645E-01   17.224  2.8225511E-03  -64.793  5.8812749E-03 -134.516  2.2726092E-01   12.107
 1.6000000E+08  2.2726303E-01   16.761  2.8991760E-03  -72.314  6.1981099E-03 -142.908  2.1117378E-01   11.139
 1.6100000E+08  2.1251470E-01   17.823  2.9322146E-03  -79.854  6.4761878E-03 -151.671  1.9497248E-01   11.832
 1.6200000E+08  2.0090556E-01   20.459  2.9435313E-03  -87.509  6.7642407E-03 -160.540  1.8109023E-01   14.411
 1.6300000E+08  1.9447630E-01   24.351  2.9182233E-03  -94.688  7.0300152E-03 -169.663  1.7198803E-01   18.792
 1.6400000E+08  1.9457554E-01   28.768  2.8822621E-03 -101.740  7.2820683E-03 -178.920  1.6966800E-01   24.255
 1.6500000E+08  2.0127727E-01   32.730  2.8126788E-03 -108.230  7.4786513E-03  171.725  1.7485084E-01   29.559
 1.6600000E+08  2.1335337E-01   35.478  2.7262770E-03 -114.062  7.6701003E-03  162.487  1.8653541E-01   33.538
 1.6700000E+08  2.2869785E-01   36.699  2.6285507E-03 -119.090  7.8003599E-03  153.210  2.0259134E-01   35.664
 1.6800000E+08  2.4523645E-01   36.489  2.5305171E-03 -123.199  7.8978648E-03  143.973  2.2062659E-01   36.001
 1.6900000E+08  2.6121384E-01   35.098  2.4378361E-03 -126.650  7.9573277E-03  134.967  2.3859108E-01   34.873
 1.7000000E+08  2.7524817E-01   32.811  2.3867911E-03 -129.220  8.0044769E-03  125.936  2.5499840E-01   32.647
 1.7100000E+08  2.8635381E-01   29.885  2.3805272E-03 -131.167  8.0239847E-03  117.265  2.6877021E-01   29.654
 1.7200000E+08  2.9394831E-01   26.524  2.3921044E-03 -133.195  8.0246636E-03  108.721  2.7917557E-01   26.134
 1.7300000E+08  2.9756242E-01   22.896  2.4604660E-03 -135.367  8.0350413E-03  100.439  2.8575884E-01   22.282
 1.7400000E+08  2.9710714E-01   19.148  2.5495792E-03 -138.138  8.0440767E-03   92.196  2.8830794E-01   18.249
 1.7500000E+08  2.9243931E-01   15.401  2.6756346E-03 -141.800  8.0742307E-03   84.241  2.8667578E-01   14.158
 1.7600000E+08  2.8369674E-01   11.801  2.7986468E-03 -146.122  8.1288345E-03   76.333  2.8091639E-01   10.136
 1.7700000E+08  2.7114856E-01    8.493  2.9440578E-03 -151.559  8.1854420E-03   68.431  2.7122706E-01    6.323
 1.7800000E+08  2.5522262E-01    5.682  3.0681342E-03 -157.480  8.2763409E-03   60.654  2.5791484E-01    2.867
 1.7900000E+08  2.3666533E-01    3.630  3.1624515E-03 -164.301  8.3962513E-03   52.719  2.4150402E-01   -0.016
 1.8000000E+08  2.1650161E-01    2.676  3.2734654E-03 -170.940  8.5250086E-03   44.777  2.2275616E-01   -2.053
 1.8100000E+08  1.9624998E-01    3.237  3.2980439E-03 -178.761  8.6718804E-03   36.635  2.0276725E-01   -2.887
 1.8200000E+08  1.7783947E-01    5.761  3.3158855E-03  173.321  8.8505380E-03   28.475  1.8311909E-01   -2.067
 1.8300000E+08  1.6382476E-01   10.468  3.3040472E-03  165.409  9.0120422E-03   20.112  1.6584853E-01    0.843
 1.8400000E+08  1.5659709E-01   16.919  3.2313569E-03  157.668  9.1802705E-03   11.573  1.5338016E-01    5.948
 1.8500000E+08  1.5754810E-01   23.833  3.1511400E-03  149.965  9.3176579E-03    2.881  1.4794493E-01   12.641
 1.8600000E+08  1.6613157E-01   29.662  3.0570140E-03  142.381  9.4321149E-03   -5.778  1.5048965E-01   19.444
 1.8700000E+08  1.8015580E-01   33.433  2.9348424E-03  135.109  9.5323168E-03  -14.511  1.6004804E-01   24.829
 1.8800000E+08  1.9706162E-01   35.076  2.8005731E-03  127.846  9.5955380E-03  -23.257  1.7431553E-01   28.049
 1.8900000E+08  2.1449878E-01   34.917  2.7092972E-03  121.433  9.6254895E-03  -32.032  1.9079665E-01   29.140
 1.9000000E+08  2.3085990E-01   33.415  2.6241814E-03  114.832  9.6220632E-03  -40.649  2.0742425E-01   28.508
 1.9100000E+08  2.4491365E-01   30.934  2.5450464E-03  108.119  9.5916209E-03  -49.164  2.2274851E-01   26.604
 1.9200000E+08  2.5587777E-01   27.785  2.4745344E-03  100.784  9.5288377E-03  -57.445  2.3566952E-01   23.770
 1.9300000E+08  2.6325234E-01   24.163  2.4511310E-03   93.306  9.4507840E-03  -65.700  2.4558301E-01   20.304
 1.9400000E+08  2.6675456E-01   20.232  2.4240750E-03   85.557  9.3603614E-03  -73.820  2.5196488E-01   16.383
 1.9500000E+08  2.6620014E-01   16.114  2.4146644E-03   76.879  9.2266822E-03  -81.822  2.5460610E-01   12.159
 1.9600000E+08  2.6155376E-01   11.913  2.4132409E-03   67.268  9.1021362E-03  -89.530  2.5337417E-01    7.739
 1.9700000E+08  2.5283267E-01    7.720  2.4483640E-03   56.896  8.9475229E-03  -97.180  2.4823272E-01    3.215
 1.9800000E+08  2.4018898E-01    3.643  2.4576734E-03   45.949  8.7943917E-03 -104.734  2.3922440E-01   -1.329
 1.9900000E+08  2.2384354E-01   -0.184  2.4934586E-03   34.541  8.6208838E-03 -112.113  2.2651394E-01   -5.801
 2.0000000E+08  2.0410500E-01   -3.568  2.5179520E-03   21.696  8.4414323E-03 -119.359  2.1026156E-01  -10.095
 2.0100000E+08  1.8153922E-01   -6.238  2.5715584E-03    9.176  8.2451752E-03 -126.516  1.9081260E-01  -14.054
 2.0200000E+08  1.5680248E-01   -7.697  2.6516307E-03   -4.050  8.0450250E-03 -133.517  1.6855014E-01  -17.432
 2.0300000E+08  1.3101462E-01   -7.072  2.7352415E-03  -17.372  7.8309658E-03 -140.373  1.4407143E-01  -19.815
 2.0400000E+08  1.0603297E-01   -2.838  2.8076464E-03  -31.036  7.6033007E-03 -147.049  1.1818614E-01  -20.399
 2.0500000E+08  8.5395335E-02    7.570  2.8863359E-03  -44.268  7.3683171E-03 -153.845  9.2301319E-02  -17.539
 2.0600000E+08  7.4947555E-02   25.026  2.9632351E-03  -57.859  7.1492498E-03 -160.090  6.9859745E-02   -8.261
 2.0700000E+08  7.8921861E-02   45.741  3.0637832E-03  -69.810  6.8990714E-03 -166.504  5.4880948E-02   13.153
 2.0800000E+08  9.6446427E-02   59.721  3.1261397E-03  -82.009  6.6451084E-03 -172.747  5.7728526E-02   40.872
 2.0900000E+08  1.2065312E-01   66.484  3.1856447E-03  -93.809  6.3860523E-03 -178.828  7.5663481E-02   58.434
 2.1000000E+08  1.4724499E-01   68.732  3.2165045E-03 -105.166  6.1344670E-03  175.237  1.0011456E-01   65.619
 2.1100000E+08  1.7393355E-01   68.414  3.2523558E-03 -115.836  5.8675921E-03  169.519  1.2635589E-01   67.394
