central_frequency,tiling,beam_fwhm,beam_name,ra,dec
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0000-9000,0.0,-90.0
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0200-8810,29.999999999999996,-88.17148209383802
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0600-8810,90.0,-88.17148209383802
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1000-8810,149.99999999999997,-88.17148209383802
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1400-8810,210.0,-88.17148209383802
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1800-8810,270.0,-88.17148209383802
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2200-8810,330.00000000000006,-88.17148209383802
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0000-8620,0.0,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0210-8620,32.72727272727273,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0421-8620,65.45454545454545,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0632-8620,98.18181818181817,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0843-8620,130.9090909090909,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1054-8620,163.63636363636365,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1305-8620,196.36363636363635,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1516-8620,229.0909090909091,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1727-8620,261.8181818181818,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1938-8620,294.5454545454545,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2149-8620,327.2727272727273,-86.34296418767605
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0042-8430,10.588235294117647,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0207-8430,31.764705882352942,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0331-8430,52.94117647058824,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0456-8430,74.11764705882352,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0621-8430,95.29411764705883,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0745-8430,116.47058823529412,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_0910-8430,137.6470588235294,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1035-8430,158.8235294117647,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1200-8430,180.0,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1324-8430,201.17647058823528,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1449-8430,222.3529411764706,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1614-8430,243.52941176470586,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1738-8430,264.7058823529412,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_1903-8430,285.8823529411765,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2028-8430,307.05882352941177,-84.51444628151407
155.47,hex_relax,2.985957237092758,hex_relax_beam_155_2152-8430,328.2352941176471,-84.51444628151407
